Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 15IAN8 82XB009GTX N100 4 GB 128 GB SSD 15.6"" W11H Dizüstü Bilgisayar",9399,19,https://www.n11.com/urun/lenovo-ideapad-slim-3-15ian8-82xb009gtx-n100-4-gb-128-gb-ssd-156-w11h-dizustu-bilgisayar-74691574
Laptop,Lenovo,"Lenovo V15 G4 AMN 82YU0124TX R5-7520U 8 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",16894.52,73,https://www.n11.com/urun/lenovo-v15-g4-amn-82yu0124tx-r5-7520u-8-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-51850942
Laptop,Lenovo,"Lenovo V15 G4 AMN 82YU0123TX R5-7520U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",19799,411,https://www.n11.com/urun/lenovo-v15-g4-amn-82yu0123tx-r5-7520u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-51598800
Laptop,HP,"HP Victus 15-FB2003NT A05NGEA R7-8840H 16 GB 1 TB SSD RTX4060 15.6"" Dos Dizüstü Bilgisayar",44637.78,0,https://www.n11.com/urun/hp-victus-15-fb2003nt-a05ngea-r7-8840h-16-gb-1-tb-ssd-rtx4060-156-dos-dizustu-bilgisayar-53433816
Laptop,MSI,"MSI Cyborg 15 A13VE-1479XTR i7-13620H 16 GB 512 GB SSD 6 GB RTX4050 15.6"" Free Dos Dizüstü Bilgisayar",43499,10,https://www.n11.com/urun/msi-cyborg-15-a13ve-1479xtr-i7-13620h-16-gb-512-gb-ssd-6-gb-rtx4050-156-free-dos-dizustu-bilgisayar-60610152
Laptop,Asus,"Asus Vivobook Go 15 E1504FA-BQ1741 R5-7520U 8 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",16625,8,https://www.n11.com/urun/asus-vivobook-go-15-e1504fa-bq1741-r5-7520u-8-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-100723749
Laptop,Lenovo,"Lenovo LOQ 15ARP9 83JC00H5TR R5-7235HS 24 GB 1 TB SSD RTX4050 15.6"" Free Dos Dizüstü Bilgisayar",37049.99,4,https://www.n11.com/urun/lenovo-loq-15arp9-83jc00h5tr-r5-7235hs-24-gb-1-tb-ssd-rtx4050-156-free-dos-dizustu-bilgisayar-88995409
Laptop,MSI,"MSI Modern 15 F1MG-632XTR Core 7 150U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",34553.94,1,https://www.n11.com/urun/msi-modern-15-f1mg-632xtr-core-7-150u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-98138486
Laptop,Dell,"Dell Vostro 3530 N3404PVNB3530U i5-1334U 16 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",22848,16,https://www.n11.com/urun/dell-vostro-3530-n3404pvnb3530u-i5-1334u-16-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-79850858
Laptop,MSI,"MSI CYBORG 15 A13VE-1478XTR i5-13420H 16 GB 1 TB SSD 6 GB RTX4050 15.6"" Dos Dizüstü Bilgisayar",38852.78,15,https://www.n11.com/urun/msi-cyborg-15-a13ve-1478xtr-i5-13420h-16-gb-1-tb-ssd-6-gb-rtx4050-156-dos-dizustu-bilgisayar-59698891
Laptop,Dell,"Dell Vostro N1601PVNB3530U-16 i7-1355U 16 GB 512 GB SSD 15.6"" Ubuntu FHD Dizüstü Bilgisayar",25764.02,4,https://www.n11.com/urun/dell-vostro-n1601pvnb3530u-16-i7-1355u-16-gb-512-gb-ssd-156-ubuntu-fhd-dizustu-bilgisayar-50210489
Laptop,MSI,"MSI CYBORG 15 B13WFKG-490XTR i7-13620H 16 GB 1 TB SSD 8 GB RTX5060 15.6"" Dos Dizüstü Bilgisayar",61424.06,2,https://www.n11.com/urun/msi-cyborg-15-b13wfkg-490xtr-i7-13620h-16-gb-1-tb-ssd-8-gb-rtx5060-156-dos-dizustu-bilgisayar-108412301
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 15IRH10 83K1004ETRA97 i5-13420H 16 GB 512 GB SSD 15.3"" Dos Dizüstü Bilgisayar",23532.74,1,https://www.n11.com/urun/lenovo-ideapad-slim-3-15irh10-83k1004etra97-i5-13420h-16-gb-512-gb-ssd-153-dos-dizustu-bilgisayar-109859229
Laptop,HP,"HP 255 G10 3Z6G3ES R7-7730U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",21751.60,6,https://www.n11.com/urun/hp-255-g10-3z6g3es-r7-7730u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-79367128
Laptop,MSI,"MSI Cyborg 15 A13VE-897XTR i7-13620H 16 GB 1 TB SSD 6 GB RTX4050 15.6"" Dos FHD Dizüstü Bilgisayar",56441.78,57,https://www.n11.com/urun/msi-cyborg-15-a13ve-897xtr-i7-13620h-16-gb-1-tb-ssd-6-gb-rtx4050-156-dos-fhd-dizustu-bilgisayar-49530284
Laptop,Lenovo,"Lenovo LOQ 15IAX9 83GS00R4TR i5-12450HX 16 GB 1 TB SSD 6 GB RTX3050 15.6"" FHD Free Dos Dizüstü Bilgisayar",32999,3,https://www.n11.com/urun/lenovo-loq-15iax9-83gs00r4tr-i5-12450hx-16-gb-1-tb-ssd-6-gb-rtx3050-156-fhd-free-dos-dizustu-bilgisayar-99558981
Laptop,Lenovo,"Lenovo LOQ 15IRX9 83DV0117TR i7-13650HX 8 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",46871.39,0,https://www.n11.com/urun/lenovo-loq-15irx9-83dv0117tr-i7-13650hx-8-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-70006837
Laptop,MSI,"MSI Cyborg 15 A13VE-1252XTR i5-13420H 16 GB 512 GB SSD RTX4050 15.6"" Dos FHD Dizüstü Bilgisayar",34199.05,10,https://www.n11.com/urun/msi-cyborg-15-a13ve-1252xtr-i5-13420h-16-gb-512-gb-ssd-rtx4050-156-dos-fhd-dizustu-bilgisayar-64894282
Laptop,Lenovo,"Lenovo V15 G4 83A100A5TR i5-13420H 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",24179.07,26,https://www.n11.com/urun/lenovo-v15-g4-83a100a5tr-i5-13420h-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-54631816
Laptop,Lenovo,"Lenovo LOQ 15ARP9 83JC00DYTR R5-7235HS 12 GB 512 GB SSD RTX3050 15.6"" Dos Dizüstü Bilgisayar",37999,2,https://www.n11.com/urun/lenovo-loq-15arp9-83jc00dytr-r5-7235hs-12-gb-512-gb-ssd-rtx3050-156-dos-dizustu-bilgisayar-69466321
Laptop,Lenovo,"Lenovo LOQ 15IAX9E 83LK008KTR i5-12450HX 16 GB 512 GB SSD RTX2050 15.6"" Dos Dizüstü Bilgisayar",29449.05,6,https://www.n11.com/urun/lenovo-loq-15iax9e-83lk008ktr-i5-12450hx-16-gb-512-gb-ssd-rtx2050-156-dos-dizustu-bilgisayar-78090920
Laptop,HP,"HP 250 G10 B2NC5ES i5-1334U 16 GB 512 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar",24545.66,31,https://www.n11.com/urun/hp-250-g10-b2nc5es-i5-1334u-16-gb-512-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-66414062
Laptop,Onda,"Onda Oliver Book N5030 8 GB 128 GB SSD 10.1"" W11P Tablet PC",4899,63,https://www.n11.com/urun/onda-oliver-book-n5030-8-gb-128-gb-ssd-101-w11p-tablet-pc-53116729
Laptop,Lenovo,"Lenovo Ideapad Slim 3 82XM00PWTX R5-5625U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",19039.37,3,https://www.n11.com/urun/lenovo-ideapad-slim-3-82xm00pwtx-r5-5625u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-86608531
Laptop,MSI,MSI VECTOR 16 HX AI A2XWIG-090XTR Ultra 9-275HX 16 GB 1 TB SSD 16 GB RTX5080 Dos Dizüstü Bilgisayar,123499,2,https://www.n11.com/urun/msi-vector-16-hx-ai-a2xwig-090xtr-ultra-9-275hx-16-gb-1-tb-ssd-16-gb-rtx5080-dos-dizustu-bilgisayar-73966281
Laptop,Dell,"Dell Vostro 3530 N3409PVNB3530U i5-1334U 8 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",20678.47,31,https://www.n11.com/urun/dell-vostro-3530-n3409pvnb3530u-i5-1334u-8-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-60768085
Laptop,Acer,"Acer Nitro V15 ANV15-51-57XV NH.QNBEY.004 i5-13420H 16 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",36499,34,https://www.n11.com/urun/acer-nitro-v15-anv15-51-57xv-nhqnbey004-i5-13420h-16-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-54255313
Laptop,I-Life,"I-Life Zed Air CX7 NTBTILWSI7158512 i7-7Y75 8 GB 512 GB SSD W10H 15.6"" FHD Gümüş Dizüstü Bilgisayar",10040.33,6,https://www.n11.com/urun/i-life-zed-air-cx7-ntbtilwsi7158512-i7-7y75-8-gb-512-gb-ssd-w10h-156-fhd-gumus-dizustu-bilgisayar-1717874
Laptop,MSI,"MSI KATANA 17 HX B14WFK-252XTR i7-14650HX 32 GB 1 TB SSD 8 GB RTX5060 17.3"" Dos Dizüstü Bilgisayar",79497.72,2,https://www.n11.com/urun/msi-katana-17-hx-b14wfk-252xtr-i7-14650hx-32-gb-1-tb-ssd-8-gb-rtx5060-173-dos-dizustu-bilgisayar-108411403
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 16IRH10 83K2001VTR i7-13620H 16 GB 1 TB SSD 16"" Dos Dizüstü Bilgisayar",34104.05,2,https://www.n11.com/urun/lenovo-ideapad-slim-3-16irh10-83k2001vtr-i7-13620h-16-gb-1-tb-ssd-16-dos-dizustu-bilgisayar-73183548
Laptop,Lenovo,"Lenovo V15 G4 IRU 83A100GPTR i7-1355U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",29250.50,12,https://www.n11.com/urun/lenovo-v15-g4-iru-83a100gptr-i7-1355u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-52000287
