Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link,Resim
Laptop,Lenovo,"Lenovo IdeaPad Slim 3 15IAN8 82XB009GTX N100 4 GB 128 GB SSD 15.6"" W11H Dizüstü Bilgisayar",9279.07,19,https://www.n11.com/urun/lenovo-ideapad-slim-3-15ian8-82xb009gtx-n100-4-gb-128-gb-ssd-156-w11h-dizustu-bilgisayar-74691574,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G4 AMN 82YU0124TX R5-7520U 8 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",18524.05,75,https://www.n11.com/urun/lenovo-v15-g4-amn-82yu0124tx-r5-7520u-8-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-51850942,https://via.placeholder.com/500?text=Resim+Yok
Laptop,HP,"HP 250 G10 B2NC5ES i5-1334U 16 GB 512 GB SSD 15.6"" Free Dos FHD Dizüstü Bilgisayar",20670.6,31,https://www.n11.com/urun/hp-250-g10-b2nc5es-i5-1334u-16-gb-512-gb-ssd-156-free-dos-fhd-dizustu-bilgisayar-66414062,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo V15 G4 AMN 82YU0123TX R5-7520U 16 GB 512 GB SSD 15.6"" Dos FHD Dizüstü Bilgisayar",19399.0,411,https://www.n11.com/urun/lenovo-v15-g4-amn-82yu0123tx-r5-7520u-16-gb-512-gb-ssd-156-dos-fhd-dizustu-bilgisayar-51598800,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell Vostro 3530 N3404PVNB3530U i5-1334U 16 GB 512 GB SSD 15.6"" Ubuntu Dizüstü Bilgisayar",22448.0,16,https://www.n11.com/urun/dell-vostro-3530-n3404pvnb3530u-i5-1334u-16-gb-512-gb-ssd-156-ubuntu-dizustu-bilgisayar-79850858,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell Vostro N1601PVNB3530U-16 i7-1355U 16 GB 512 GB SSD 15.6"" Ubuntu FHD Dizüstü Bilgisayar",25431.56,4,https://www.n11.com/urun/dell-vostro-n1601pvnb3530u-16-i7-1355u-16-gb-512-gb-ssd-156-ubuntu-fhd-dizustu-bilgisayar-50210489,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Lenovo,"Lenovo LOQ 15ARP9 83JC00H5TR R5-7235HS 24 GB 1 TB SSD RTX4050 15.6"" Free Dos Dizüstü Bilgisayar",35849.99,5,https://www.n11.com/urun/lenovo-loq-15arp9-83jc00h5tr-r5-7235hs-24-gb-1-tb-ssd-rtx4050-156-free-dos-dizustu-bilgisayar-88995409,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI Modern 15 F1MG-632XTR Core 7 150U 16 GB 512 GB SSD 15.6"" Free Dos Dizüstü Bilgisayar",32698.0,1,https://www.n11.com/urun/msi-modern-15-f1mg-632xtr-core-7-150u-16-gb-512-gb-ssd-156-free-dos-dizustu-bilgisayar-98138486,https://via.placeholder.com/500?text=Resim+Yok
Laptop,MSI,"MSI Cyborg 15 A13VE-1479XTR i7-13620H 16 GB 512 GB SSD 6 GB RTX4050 15.6"" Free Dos Dizüstü Bilgisayar",44775.4,10,https://www.n11.com/urun/msi-cyborg-15-a13ve-1479xtr-i7-13620h-16-gb-512-gb-ssd-6-gb-rtx4050-156-free-dos-dizustu-bilgisayar-60610152,https://via.placeholder.com/500?text=Resim+Yok
Laptop,Dell,"Dell Vostro 3530 N1601PVNB3530U i7-1355U 8 GB 512 GB SSD 15.6"" Ubuntu FHD Dizüstü Bilgisayar",23772.43,6,https://www.n11.com/urun/dell-vostro-3530-n1601pvnb3530u-i7-1355u-8-gb-512-gb-ssd-156-ubuntu-fhd-dizustu-bilgisayar-50609457,https://via.placeholder.com/500?text=Resim+Yok
